Date,QQQ,SPY
2021-11-09,385.4820556640625,441.8578796386719
2021-11-10,379.8167419433594,438.3031311035156
2021-11-11,380.8698425292969,438.4449462890625
2021-11-12,384.8775939941406,441.75384521484375
2021-11-15,384.7898254394531,441.9051513671875
2021-11-16,387.5298156738281,443.6541442871094
2021-11-17,387.7345886230469,442.5763244628906
2021-11-18,391.7520751953125,444.0795593261719
2021-11-19,393.9363708496094,443.2853698730469
2021-11-22,389.363037109375,442.0374755859375
2021-11-23,387.58831787109375,442.6236267089844
2021-11-24,388.8365478515625,443.8053283691406
2021-11-26,381.46466064453125,433.9070129394531
2021-11-29,389.7433776855469,439.2297058105469
2021-11-30,384.0194396972656,430.6833190917969
2021-12-01,377.4861755371094,425.8996276855469
2021-12-02,380.206787109375,432.42279052734375
2021-12-03,373.5954895019531,428.66015625
2021-12-06,376.58905029296875,433.7369384765625
2021-12-07,387.9295654296875,442.70867919921875
2021-12-08,389.6653137207031,443.88092041015625
2021-12-09,383.9316711425781,440.88409423828125
2021-12-10,388.1051940917969,445.0343322753906
2021-12-13,382.4982604980469,441.09197998046875
2021-12-14,378.53924560546875,438.0573425292969
2021-12-15,387.1690673828125,444.9020080566406
2021-12-16,377.21319580078125,440.97857666015625
2021-12-17,375.3311462402344,436.28533935546875
2021-12-20,371.6903381347656,431.6461181640625
2021-12-21,380.0089111328125,439.3117370605469
2021-12-22,384.6368713378906,443.7042541503906
2021-12-23,387.53668212890625,446.465087890625
2021-12-27,393.9415588378906,452.78350830078125
2021-12-28,392.11572265625,452.4134826660156
2021-12-29,392.0571594238281,452.9921875
2021-12-30,390.8855285644531,451.73992919921875
2021-12-31,388.4446105957031,450.6014404296875
2022-01-03,392.18408203125,453.21038818359375
2022-01-04,387.0972900390625,453.05853271484375
2022-01-05,375.2052307128906,444.3589172363281
2022-01-06,374.94158935546875,443.9414367675781
2022-01-07,370.87994384765625,442.186279296875
2022-01-10,371.1240234375,441.6361083984375
2022-01-11,376.69903564453125,445.65863037109375
2022-01-12,378.19287109375,446.86346435546875
2022-01-13,368.7319030761719,440.7063293457031
2022-01-14,371.0263977050781,440.88665771484375
2022-01-18,361.7900085449219,433.0786437988281
2022-01-19,357.8162841796875,428.5817565917969
2022-01-20,353.1688232421875,423.8382263183594
2022-01-21,343.37591552734375,415.5179748535156
2022-01-24,344.9478454589844,417.2825622558594
2022-01-25,336.95147705078125,412.18798828125
2022-01-26,336.4242858886719,411.1538391113281
2022-01-27,333.0362548828125,409.12353515625
2022-01-28,343.4832458496094,419.2843322753906
2022-01-31,354.46734619140625,426.8361511230469
2022-02-01,356.87890625,429.72021484375
2022-02-02,359.7786865234375,433.8945617675781
2022-02-03,345.1919250488281,423.6958923339844
2022-02-04,349.54656982421875,425.688232421875
2022-02-07,346.734619140625,424.322021484375
2022-02-08,350.6302490234375,427.8133239746094
2022-02-09,358.06036376953125,434.0748596191406
2022-02-10,349.95654296875,426.2764587402344
2022-02-11,338.8553161621094,417.8707580566406
2022-02-14,339.27520751953125,416.504638671875
2022-02-15,347.7109069824219,423.2215881347656
2022-02-16,347.62310791015625,423.6958923339844
2022-02-17,337.28338623046875,414.6451721191406
2022-02-18,333.4365539550781,411.96026611328125
2022-02-22,330.0876159667969,407.5393371582031
2022-02-23,321.6323547363281,400.3100891113281
2022-02-24,332.4406433105469,406.3344421386719
2022-02-25,337.5957946777344,415.2998046875
2022-02-28,338.60150146484375,414.2372131347656
2022-03-01,333.4169921875,407.92828369140625
2022-03-02,339.0115661621094,415.4326477050781
2022-03-03,334.1687316894531,413.3644104003906
2022-03-04,329.3260803222656,410.0059509277344
2022-03-07,317.1801452636719,397.9193420410156
2022-03-08,315.70587158203125,394.9023742675781
2022-03-09,327.0706481933594,405.4901123046875
2022-03-10,323.4386901855469,403.6590881347656
2022-03-11,316.7311096191406,398.5265197753906
2022-03-14,310.6483459472656,395.61395263671875
2022-03-15,320.3923645019531,404.31365966796875
2022-03-16,332.274658203125,413.279052734375
2022-03-17,336.29730224609375,418.4494934082031
2022-03-18,343.1806335449219,423.0326843261719
2022-03-21,342.2265319824219,422.9089660644531
2022-03-22,348.9521484375,427.8576354980469
2022-03-23,343.937255859375,422.34747314453125
2022-03-24,351.5818786621094,428.714111328125
2022-03-25,351.28857421875,430.80780029296875
2022-03-28,356.723876953125,433.8721008300781
2022-03-29,362.86297607421875,439.23944091796875
2022-03-30,358.8548583984375,436.52728271484375
2022-03-31,354.4070739746094,429.80853271484375
2022-04-01,353.7324523925781,431.02667236328125
2022-04-04,361.0152893066406,434.71905517578125
2022-04-05,352.999267578125,429.22808837890625
2022-04-06,345.335205078125,424.9360046386719
2022-04-07,346.1562805175781,427.0772399902344
2022-04-08,341.3173522949219,425.93524169921875
2022-04-11,333.24267578125,418.6551513671875
2022-04-12,331.83502197265625,417.1038818359375
2022-04-13,338.5802001953125,421.8811950683594
2022-04-14,330.837890625,416.6280212402344
2022-04-18,331.0920104980469,416.79931640625
2022-04-19,338.4922180175781,423.5275573730469
2022-04-20,333.5555419921875,423.2135314941406
2022-04-21,326.6538391113281,416.88494873046875
2022-04-22,318.1001281738281,405.44598388671875
2022-04-25,322.1864013671875,407.7965393066406
2022-04-26,310.02545166015625,395.9864501953125
2022-04-27,309.6540222167969,397.0998840332031
2022-04-28,320.651611328125,407.1304931640625
2022-04-29,306.2227478027344,392.08465576171875
2022-05-02,311.33544921875,394.4447937011719
2022-05-03,311.6678466796875,396.2528991699219
2022-05-04,322.20599365234375,408.3200378417969
2022-05-05,305.9783020019531,393.80718994140625
2022-05-06,302.31243896484375,391.4565124511719
